"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"188","R_vj1ndFPFzJPYjy9",188,16,112,15.18,300.89,51.79,15.18,11.61,0.89,0,0,10.71,0,3.57,3.57,20.54,6.25,3.57,7.14,0.89,19.64,4.46,0.89,0,0,0.89,0.89,0.89,0,0,0,0,13.39,0.89,0,0,10.71,9.82,3.57,0.89,3.57,2.68,0,1.79,0,0,0,0,0,0,0,0,0,8.93,1.79,1.79,3.57,2.68,0,2.68,14.29,1.79,21.43,8.93,5.36,6.25,2.68,4.46,0.89,2.68,0,0,0,0,0,0,0,0,7.14,5.36,0.89,0,0,0,0,0,0.89,0.89,0,7.14
"189","R_2ATI5xhANENIF3L",189,13.75,110,14.55,250.91,47.27,13.64,10.91,0,0,0,10.91,0,2.73,9.09,17.27,3.64,0.91,3.64,0,13.64,0.91,0.91,0.91,1.82,0.91,0,0,0,0,0,0,12.73,0,0,0,10.91,2.73,0.91,0,0.91,0.91,0,0,3.64,2.73,0,0,1.82,1.82,0,0,0,2.73,0,1.82,0,1.82,0,0.91,9.09,2.73,22.73,8.18,7.27,7.27,4.55,2.73,0,0.91,0,0,0,0,0,0,0,0,9.09,7.27,0.91,0,0,0,0,0,0.91,0.91,0,9.09
"190","R_2c1nyULRHZmWui6",190,9.23076923076923,120,6.67,287.5,47.5,20.83,18.33,5,10.83,0,1.67,0.83,2.5,6.67,12.5,4.17,2.5,2.5,0,10.83,4.17,2.5,0,0,4.17,3.33,2.5,0.83,0,0,0,15.83,0,0.83,1.67,0,3.33,0.83,0,0.83,0.83,0,0.83,5.83,5.83,0,0,4.17,0.83,0,0,2.5,15,13.33,0,0,1.67,0,0,15,0.83,11.67,2.5,5.83,3.33,0,5.83,4.17,0,0,0,0,0,0,0,0,0,10.83,10.83,0,0,0,0,0,0,0,0,0,10.83
"191","R_12llq3PG0KzTSnG",191,15,105,14.29,257.14,45.71,10.48,7.62,0,0,0,6.67,0.95,2.86,10.48,9.52,6.67,4.76,6.67,0,15.24,5.71,1.9,2.86,0,1.9,4.76,0.95,3.81,0.95,0,1.9,10.48,0.95,0,1.9,6.67,6.67,1.9,2.86,0,1.9,0,0.95,2.86,1.9,0.95,0,3.81,0,2.86,0,0.95,3.81,0,0.95,2.86,0,0,1.9,12.38,0.95,15.24,1.9,10.48,2.86,0,1.9,1.9,0,0,0,0,0,0,0,0,0,9.52,6.67,0.95,0,0,0,0,0,1.9,1.9,0,9.52
"192","R_32UZET17iZguXzY",192,50.5,101,14.85,323.76,55.45,19.8,12.87,4.95,3.96,0,3.96,0,6.93,6.93,7.92,9.9,4.95,8.91,0,19.8,1.98,0.99,0.99,0,2.97,11.88,10.89,0.99,0,0,0,13.86,0,0,3.96,0,9.9,0.99,0,1.98,5.94,0,1.98,1.98,0,1.98,0,0.99,0,0.99,0,0,14.85,6.93,1.98,0.99,3.96,0.99,1.98,14.85,1.98,13.86,2.97,5.94,4.95,0,2.97,0,0,0.99,0,0.99,0,0,0,0.99,0,5.94,0.99,0,0,0,0,0,0,4.95,4.95,0,5.94
"193","R_1QABmFfUCnzhlsW",193,23,115,10.43,296.52,65.22,18.26,12.17,11.3,0,0,0.87,0,6.09,6.09,15.65,13.04,5.22,9.57,2.61,17.39,5.22,2.61,0,0,0,5.22,1.74,3.48,1.74,0,1.74,3.48,0.87,0,1.74,0,17.39,1.74,0,7.83,2.61,0.87,6.09,0,0,0,0,0.87,0,0,0,0,6.09,2.61,0.87,0.87,1.74,0,1.74,7.83,1.74,10.43,1.74,6.09,2.61,2.61,0,0.87,0,0,0,0,0,0,0,0,0,9.57,4.35,4.35,0,0,0,0,0,0.87,0.87,0,9.57
"194","R_2Epm5RrnLlMxkQL",194,52.5,105,17.14,335.24,62.86,20,14.29,5.71,0.95,0,7.62,0,5.71,2.86,16.19,17.14,5.71,8.57,0,23.81,2.86,3.81,1.9,0.95,1.9,4.76,4.76,0,0,0,0,12.38,1.9,0.95,7.62,0.95,15.24,1.9,2.86,4.76,0.95,3.81,0.95,1.9,1.9,0,0,0,0,0,0,0,5.71,2.86,0,1.9,0,0.95,7.62,10.48,0,14.29,2.86,6.67,4.76,0,3.81,0,0,0.95,0,0.95,0,0,0,0.95,0,10.48,0.95,0,0,1.9,0,0,0,6.67,6.67,0,10.48
"195","R_1ihv8yd933I6Wgk",195,15.5714285714286,109,12.84,282.57,55.05,16.51,9.17,3.67,0,0.92,4.59,0,7.34,5.5,14.68,11.01,4.59,4.59,1.83,18.35,1.83,2.75,0.92,1.83,1.83,1.83,1.83,0,0,0,0,10.09,1.83,0,7.34,0,11.93,2.75,1.83,0.92,3.67,2.75,2.75,0.92,0,0.92,0,0.92,0,0.92,0,0,2.75,0,1.83,1.83,0.92,0,6.42,8.26,2.75,16.51,5.5,6.42,4.59,1.83,1.83,0.92,0,0,0,0,0,0,0,0,0,12.84,5.5,2.75,0,0,0,0,1.83,2.75,2.75,0,11.01
"196","R_2AMRXKY0A3wbfzR",196,13.1,131,6.11,261.07,51.91,12.98,10.69,5.34,0,0,5.34,0,2.29,4.58,9.92,6.11,10.69,7.63,4.58,10.69,3.05,1.53,0.76,0,1.53,3.05,1.53,1.53,0.76,0,0.76,9.92,2.29,0,6.87,0,16.03,3.05,3.05,0.76,3.05,3.05,4.58,0.76,0,0,0.76,0.76,0,0.76,0,0,2.29,1.53,0,0.76,0,0,2.29,5.34,3.82,13.74,0.76,6.11,6.87,0,0.76,0.76,0,0,0,1.53,0,0.76,0,0.76,0,20.61,12.98,6.11,0,0,0.76,0.76,0,0,0,0,20.61
"197","R_3FR4hjlzh6NVQeq",197,9.07692307692308,118,16.1,274.58,44.92,15.25,13.56,4.24,2.54,0,5.93,0.85,1.69,5.08,9.32,11.86,1.69,2.54,0,16.95,0.85,0.85,0.85,1.69,1.69,1.69,0,1.69,0,0,1.69,16.95,4.24,2.54,6.78,0,1.69,0,0,0,0.85,0,1.69,0,0,0,0,5.08,0,5.08,0,0,14.41,9.32,3.39,0.85,0.85,0,6.78,10.17,0.85,14.41,0.85,8.47,5.08,0.85,1.69,3.39,0,0,0.85,0,0,0,0,0,0,16.1,8.47,2.54,0,0,2.54,0,0,0,0,0,16.1
