"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"77","77",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","78",78,7.66666666666667,23,8.7,239.13,39.13,21.74,21.74,13.04,0,4.35,4.35,0,0,0,0,13.04,0,8.7,0,17.39,4.35,0,0,8.7,4.35,0,0,0,0,0,0,17.39,0,0,0,4.35,8.7,4.35,0,4.35,4.35,0,4.35,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09,13.04,8.7,0,0,0,0,0,4.35,4.35,0,26.09
"79","79",79,21,63,19.05,214.29,47.62,3.17,3.17,0,0,1.59,1.59,0,0,14.29,15.87,9.52,1.59,4.76,4.76,12.7,3.17,3.17,0,12.7,3.17,1.59,1.59,0,0,0,0,6.35,0,0,0,1.59,11.11,0,0,6.35,1.59,4.76,1.59,1.59,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,1.59,4.76,0,12.7,0,9.52,3.17,0,0,0,0,0,0,0,0,0,0,0,0,15.87,4.76,4.76,0,0,0,0,0,6.35,6.35,0,15.87
"80","80",80,34,102,6.86,268.63,53.92,12.75,9.8,6.86,0,0.98,0.98,0.98,2.94,3.92,15.69,10.78,5.88,7.84,0.98,21.57,0.98,4.9,1.96,2.94,0.98,0.98,0.98,0,0,0,0,9.8,1.96,0.98,0,1.96,6.86,2.94,0.98,0.98,1.96,0,0.98,2.94,0,2.94,0,0.98,0,0.98,0,0,2.94,1.96,0,0.98,0,0,4.9,12.75,2.94,12.75,4.9,3.92,3.92,1.96,2.94,2.94,1.96,0,0,0,0,0,0,0,0,16.67,2.94,11.76,0,0,0,0,0,1.96,1.96,0,16.67
"81","81",81,12,48,33.33,291.67,52.08,12.5,6.25,0,0,6.25,0,0,6.25,6.25,12.5,12.5,6.25,4.17,4.17,22.92,6.25,10.42,0,8.33,0,4.17,4.17,0,0,0,0,16.67,4.17,0,0,0,10.42,0,0,4.17,4.17,0,4.17,0,0,0,0,0,0,0,0,0,8.33,4.17,0,4.17,0,0,4.17,8.33,0,10.42,4.17,4.17,2.08,0,4.17,4.17,4.17,0,0,0,0,0,0,0,0,16.67,6.25,2.08,0,0,2.08,0,0,6.25,6.25,0,16.67
"82","82",82,34,102,11.76,261.76,48.04,15.69,7.84,0.98,0,4.9,0.98,0.98,7.84,4.9,14.71,4.9,4.9,3.92,0.98,12.75,4.9,5.88,0,1.96,3.92,1.96,1.96,0,0,0,0,13.73,1.96,0,0,2.94,10.78,0,0,4.9,5.88,1.96,3.92,2.94,0,1.96,0,0.98,0,0.98,0,0,2.94,0,0.98,0.98,0.98,0,0.98,9.8,0,15.69,1.96,11.76,1.96,1.96,0,0,0.98,0.98,0,0.98,0,0,0,0.98,0,13.73,2.94,8.82,0,0,0,0,0,1.96,1.96,0,13.73
"83","83",83,24,72,12.5,234.72,41.67,8.33,6.94,2.78,1.39,2.78,0,0,1.39,5.56,18.06,2.78,1.39,6.94,0,18.06,2.78,4.17,0,5.56,1.39,0,0,0,0,0,0,9.72,0,0,0,0,8.33,4.17,2.78,0,0,0,1.39,4.17,0,4.17,0,0,0,0,0,0,4.17,1.39,1.39,1.39,0,0,6.94,6.94,0,22.22,4.17,8.33,9.72,0,0,1.39,0,0,0,0,0,0,0,0,0,16.67,4.17,9.72,0,0,0,0,0,2.78,2.78,0,16.67
"84","84",84,25.3333333333333,76,6.58,265.79,55.26,15.79,11.84,5.26,1.32,0,3.95,1.32,3.95,11.84,11.84,9.21,5.26,3.95,1.32,14.47,5.26,2.63,2.63,0,0,0,0,0,0,0,0,10.53,2.63,0,0,6.58,3.95,1.32,0,1.32,0,0,1.32,2.63,1.32,1.32,0,0,0,0,0,0,5.26,2.63,0,1.32,1.32,0,7.89,3.95,0,18.42,2.63,13.16,3.95,0,2.63,1.32,1.32,0,0,0,0,0,0,0,0,18.42,3.95,10.53,0,0,0,0,0,3.95,3.95,0,18.42
"85","85",85,8.66666666666667,26,11.54,280.77,46.15,15.38,7.69,3.85,0,0,0,3.85,7.69,3.85,7.69,11.54,0,7.69,7.69,19.23,11.54,7.69,0,0,0,7.69,7.69,0,0,0,0,3.85,0,0,0,0,23.08,7.69,0,3.85,0,0,11.54,0,0,0,0,0,0,0,0,0,15.38,0,0,7.69,7.69,0,3.85,11.54,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,26.92,11.54,7.69,0,0,0,0,0,7.69,7.69,0,26.92
"86","86",86,31.6666666666667,95,11.58,296.84,58.95,20,13.68,3.16,0,1.05,1.05,8.42,6.32,6.32,17.89,6.32,5.26,5.26,3.16,14.74,2.11,5.26,1.05,2.11,0,5.26,5.26,0,0,0,0,16.84,2.11,0,3.16,0,10.53,3.16,0,0,2.11,1.05,4.21,3.16,2.11,1.05,0,1.05,0,1.05,0,0,3.16,0,0,2.11,0,1.05,8.42,6.32,0,13.68,1.05,11.58,1.05,1.05,0,3.16,0,0,0,0,0,0,0,0,0,6.32,2.11,0,0,0,0,0,0,4.21,4.21,0,6.32
