"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"732","732",732,3,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,33.33
"733","733",733,12,48,18.75,302.08,41.67,16.67,14.58,4.17,0,2.08,8.33,0,2.08,2.08,8.33,6.25,6.25,8.33,2.08,22.92,0,2.08,2.08,0,4.17,0,0,0,0,0,0,18.75,2.08,0,0,8.33,14.58,2.08,0,2.08,6.25,2.08,6.25,2.08,0,2.08,0,4.17,0,4.17,0,0,6.25,4.17,0,2.08,0,0,6.25,12.5,0,14.58,0,10.42,4.17,2.08,4.17,2.08,4.17,0,0,0,0,0,0,0,0,16.67,8.33,2.08,0,0,0,0,0,6.25,6.25,0,16.67
"734","734",734,6,18,11.11,222.22,38.89,11.11,11.11,0,0,0,11.11,0,0,0,16.67,0,5.56,5.56,5.56,11.11,5.56,5.56,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,11.11,11.11,0,0,0,5.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,5.56,0,5.56,0,0,0,0,11.11,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67
"735","735",735,11,44,2.27,318.18,50,15.91,13.64,0,0,0,13.64,0,2.27,6.82,11.36,11.36,4.55,6.82,2.27,25,2.27,2.27,0,4.55,2.27,2.27,2.27,0,0,0,0,15.91,2.27,0,0,13.64,9.09,0,0,0,4.55,0,6.82,0,0,0,0,0,0,0,0,0,6.82,2.27,0,2.27,2.27,0,9.09,13.64,0,15.91,4.55,11.36,0,0,4.55,2.27,6.82,0,0,2.27,0,0,0,2.27,0,20.45,6.82,2.27,0,0,2.27,0,0,9.09,9.09,0,20.45
"736","736",736,13.6666666666667,41,19.51,275.61,53.66,14.63,12.2,0,0,0,12.2,0,2.44,4.88,9.76,14.63,2.44,7.32,0,17.07,2.44,2.44,0,0,0,2.44,2.44,0,0,0,0,17.07,4.88,0,0,14.63,2.44,0,0,0,0,0,2.44,2.44,0,0,0,0,0,0,0,0,7.32,2.44,2.44,0,0,2.44,9.76,7.32,0,17.07,2.44,14.63,2.44,2.44,0,0,0,0,0,0,0,0,0,0,0,7.32,7.32,0,0,0,0,0,0,0,0,0,7.32
"737","737",737,13,39,23.08,274.36,53.85,10.26,7.69,2.56,0,0,5.13,0,2.56,10.26,10.26,23.08,5.13,0,7.69,23.08,5.13,5.13,0,7.69,10.26,0,0,0,0,0,0,7.69,2.56,0,0,7.69,12.82,0,0,7.69,0,2.56,2.56,0,0,0,0,2.56,2.56,0,0,0,0,0,0,0,0,0,0,12.82,0,10.26,0,10.26,2.56,0,0,0,0,0,0,0,0,0,0,0,0,25.64,7.69,5.13,0,0,0,0,0,12.82,12.82,0,25.64
"738","738",738,15,15,33.33,213.33,53.33,0,0,0,0,0,0,0,0,6.67,26.67,6.67,6.67,6.67,0,6.67,13.33,13.33,0,26.67,6.67,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6.67,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,6.67
"739","739",739,9,9,11.11,388.89,66.67,22.22,11.11,0,0,11.11,0,0,11.11,0,11.11,22.22,33.33,11.11,0,44.44,0,0,22.22,0,0,0,0,0,0,0,0,11.11,0,0,0,0,22.22,11.11,11.11,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,11.11,0,0,11.11,11.11,0,22.22
"740","740",740,4,8,0,300,50,37.5,12.5,12.5,0,0,0,0,25,0,12.5,25,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,25,25,0,50
"741","741",741,15,15,13.33,293.33,73.33,26.67,13.33,0,0,13.33,0,0,13.33,6.67,13.33,13.33,13.33,13.33,0,13.33,0,0,13.33,0,0,0,0,0,0,0,0,20,6.67,0,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,6.67,0,0,0,0,0,6.67
"742","742",742,9.75,39,15.38,325.64,56.41,17.95,12.82,12.82,0,0,0,0,5.13,5.13,15.38,5.13,10.26,12.82,2.56,7.69,10.26,7.69,0,0,2.56,10.26,5.13,5.13,2.56,0,2.56,5.13,0,0,0,0,20.51,2.56,0,7.69,10.26,2.56,10.26,2.56,0,2.56,0,0,0,0,0,0,2.56,0,2.56,2.56,0,2.56,0,10.26,2.56,10.26,0,5.13,5.13,5.13,0,0,2.56,0,0,0,0,0,0,0,0,17.95,10.26,2.56,0,0,0,0,0,5.13,5.13,0,17.95
